;ano;turno;tipo_eleicao;sigla_uf;id_municipio;id_municipio_tse;cargo;sigla_partido;numero_candidato;sequencial_candidato;id_candidato_bd;resultado;votos;total_votos;%votos;dif_votos;Aderencia;Governismo;RDD
0;2020;1;eleicao ordinaria;SP;3522505;65510;prefeito;PODE;19;250000635262;1704804;eleito;105494;106580;0.98981;0.9796199999999999;77;1;1
1;2020;1;eleicao ordinaria;SP;3522505;65510;prefeito;PDT;12;250000650083;1483673;nao eleito;1086;106580;0.01019;0.9796199999999999;48;0;1
4;2020;1;eleicao ordinaria;SP;3520608;65137;prefeito;PODE;19;250000924671;10467;eleito;1883;3139;0.59987;0.28193;77;1;1
5;2020;1;eleicao ordinaria;SP;3520608;65137;prefeito;PSDB;45;250001017867;1126574;nao eleito;998;3139;0.31794;0.28193;92;0;1
12;2020;1;eleicao ordinaria;SP;3524204;65854;prefeito;PODE;19;250000849230;1087537;eleito;2213;4262;0.51924;0.06992000000000004;77;1;1
13;2020;1;eleicao ordinaria;SP;3524204;65854;prefeito;PSDB;45;250001193498;1216331;nao eleito;1915;4262;0.44932;0.06992000000000004;92;0;1
14;2020;1;eleicao ordinaria;SP;3548054;61328;prefeito;PODE;19;250000720088;1167945;nao eleito;2751;5781;0.47587;0.04825999999999997;77;1;1
15;2020;1;eleicao ordinaria;SP;3548054;61328;prefeito;PSDB;45;250000781680;551216;eleito;3030;5781;0.52413;0.04825999999999997;92;0;1
16;2020;1;eleicao ordinaria;SP;3550605;71137;prefeito;PODE;19;250000675805;1441693;eleito;17669;37663;0.46913;0.03953000000000001;77;1;1
17;2020;1;eleicao ordinaria;SP;3550605;71137;prefeito;PSDB;45;250001209749;1107903;nao eleito;16180;37663;0.4296;0.03953000000000001;92;0;1
18;2020;1;eleicao ordinaria;SP;3547106;70432;prefeito;PODE;19;250001166011;53966;nao eleito;960;2071;0.46354;0.07292000000000004;77;1;1
19;2020;1;eleicao ordinaria;SP;3547106;70432;prefeito;PSDB;45;250000954118;309623;eleito;1111;2071;0.53646;0.07292000000000004;92;0;1
30;2020;1;eleicao ordinaria;SP;3528304;66672;prefeito;PODE;19;250001083330;1717795;nao eleito;913;2301;0.39678;0.20643999999999996;77;1;1
31;2020;1;eleicao ordinaria;SP;3528304;66672;prefeito;PSDB;45;250001101948;1692471;eleito;1388;2301;0.60322;0.20643999999999996;92;0;1
40;2020;1;eleicao ordinaria;SP;3544103;69833;prefeito;PODE;19;250000664124;1389662;eleito;8656;23998;0.3607;0.01796000000000003;77;1;1
41;2020;1;eleicao ordinaria;SP;3544103;69833;prefeito;PSB;40;250001078485;29475;nao eleito;8225;23998;0.34274;0.01796000000000003;46;0;1
48;2020;1;eleicao ordinaria;SP;3522109;65439;prefeito;PODE;19;250000748780;1537869;nao eleito;15424;47300;0.32609;0.08338000000000001;77;1;1
49;2020;1;eleicao ordinaria;SP;3522109;65439;prefeito;PSDB;45;250000661168;1660021;eleito;19368;47300;0.40947;0.08338000000000001;92;0;1
56;2020;2;eleicao ordinaria;SP;3530607;67130;prefeito;PODE;19;250000780243;1690850;eleito;114656;386904;0.29634;0.08514;77;1;1
57;2020;2;eleicao ordinaria;SP;3530607;67130;prefeito;PSDB;45;250000720963;1466177;nao eleito;81714;386904;0.2112;0.08514;92;0;1
60;2020;1;eleicao ordinaria;SP;3554805;71978;prefeito;PODE;19;250001074001;1678013;nao eleito;5482;19220;0.28522;0.0922;77;1;1
61;2020;1;eleicao ordinaria;SP;3554805;71978;prefeito;PSDB;45;250000632478;1254585;eleito;7254;19220;0.37742;0.0922;92;0;1
64;2020;2;eleicao ordinaria;SP;3551009;71218;prefeito;PODE;19;250000665261;1793886;eleito;90876;324296;0.28023;0.06275999999999998;77;1;1
65;2020;2;eleicao ordinaria;SP;3551009;71218;prefeito;PSDB;45;250001119403;1413852;nao eleito;70526;324296;0.21747;0.06275999999999998;92;0;1
